,Id,Name,Age,Country,Gender,Income,Tax,New Income
0,1,John Doe,29,US,M,55000.0,5%,60500.00000000001
1,1,John Doe,29,US,M,55000.0,5%,60500.00000000001
2,2,Jane Smith,32,Canada,F,62000.0,5%,68200.0
3,3,Alex,32,US,U,47000.0,2%,51700.00000000001
4,4,Maria Garcia,34,Spain,F,57600.0,5%,63360.00000000001
5,5,Li Wei,27,China,M,51000.0,5%,56100.00000000001
6,6,,45,India,F,73000.0,5%,80300.0
7,7,Ahmed Khan,38,,M,68000.0,5%,74800.0
8,8,Rachel Lee,29,US,F,62000.0,5%,68200.0
9,9,Carlos Ruiz,32,Mexico,M,45000.0,2%,49500.00000000001
10,10,Emily Davis,31,US,,58000.0,5%,63800.00000000001
